S.No,0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62
,ID_REF,GSM877126,GSM877127,GSM877128,GSM877129,GSM877130,GSM877131,GSM877132,GSM877133,GSM877134,GSM877135,GSM877136,GSM877137,GSM877138,GSM877139,GSM877140,GSM877141,GSM877142,GSM877143,GSM877144,GSM877145,GSM877146,GSM877147,GSM877148,GSM877149,GSM877150,GSM877151,GSM877152,GSM877153,GSM877154,GSM877155,GSM877156,GSM877157,GSM877158,GSM877159,GSM877160,GSM877161,GSM877162,GSM877163,GSM877164,GSM877165,GSM877166,GSM877167,GSM877168,GSM877169,GSM877170,GSM877171,GSM877173,GSM877174,GSM877175,GSM877176,GSM877177,GSM877178,GSM877179,GSM877180,GSM877181,GSM877182,GSM877183,GSM877184,GSM877185,GSM877186,GSM877187,GSM877188
0,117_at,6.029833802000001,6.344321157,5.0231270089999995,4.612726851000001,5.8659436860000005,6.863883765,5.430315981000001,4.28518297,4.903301665,6.530134278999999,4.84746448,5.05146847,7.006106468,4.943510494,5.259366639,5.253321472,6.0042515970000006,6.468003831,7.356290207000001,5.174154558,6.420283147,8.402295142,5.177594503,5.368953381,4.908442257,5.774105973999999,7.48010369,10.36814641,5.56820963,6.631461531,5.695817374,5.350095533,5.357527836,6.278338957000001,6.210460566,4.6361764260000005,7.473647351,4.660150767,4.650539245,5.7746166489999995,4.664240457,5.142558383,5.095383261,4.9520046230000005,5.2904251460000005,4.472216787,5.618307369,4.719674959,4.792020143,4.981114705,5.477543951,4.540863271,5.1110974460000005,4.894900643,6.660386083,5.407187991,7.228848427999999,4.835558154,5.69400995,8.661629474,5.702600743,4.500367547
1,1007_s_at,9.468893461,9.99420409,10.40982278,10.59692074,10.252547400000001,9.671753807,10.86327629,9.788300325,10.55175033,10.16512148,9.930100382000001,10.15911299,10.0333551,10.38070708,10.18469377,10.15229877,7.7545435860000005,10.21487247,10.98423886,10.74018517,10.22593539,9.754302383999999,9.864075564,10.85562247,10.37654332,9.619083175,10.71454271,10.76168723,10.44676512,9.598944281,9.84180985,10.84505506,9.95637626,10.25634682,10.28893222,10.06461614,9.655227021,10.91175265,10.17223658,10.29796029,10.15623098,10.11038233,10.14473999,10.13690866,10.4304516,10.61071348,10.40140927,10.52547101,10.70408484,10.05038403,10.92550768,10.003210800000002,10.08464943,10.35384935,10.58412553,10.58595318,9.579042091,10.34358114,9.409748517999999,10.42729796,10.30909385,10.99695612
2,1053_at,7.1870899260000005,7.705625738999999,7.934056779,7.446374487000001,7.141104522999999,7.04053486,7.767727627,8.035920802,7.869726869,7.615570022000001,7.454195247,7.384296234,8.553709234,7.989153604,7.983528197999999,8.271041309,6.795014066,7.450275509,8.810033974,6.589284912999999,7.50515225,8.191826065,7.692261102000001,7.4295814689999995,8.104784287000001,7.137098779,7.3014659260000006,7.237572376,7.385270103,7.207715427,7.495638007,7.256634361000001,7.165365448999999,7.88920267,7.650817166,7.701011939,7.432906812000001,7.751054435,7.656275373,7.067799718,7.726520406000001,7.522912572999999,7.066782537000001,7.655282392,7.590083709,6.754313944,6.968878472999999,7.857569451,7.718933221,7.79465076,7.569905315,7.347620407000001,6.119306158,7.320402532,7.326723979,7.776102588,8.273183589,7.471583541,7.488734643,7.5126322089999995,7.476872373,7.453162211
3,121_at,6.807581937999999,6.893129732,7.165601643,7.071417335,7.103383077999999,7.504727491000001,7.067673637,7.259019192,7.46284642,7.47684663,7.424081146,7.443270267000001,7.730507762999999,7.447967928,7.767613259,7.369269447000001,7.01467506,7.205785517000001,7.036289589,7.205924111,7.113644143999999,8.588304013,7.392045297999999,7.617338851,7.249636743,7.588875696000001,7.589869352999999,7.683509402,7.875052602,6.79858561,7.017373468,7.275097808,7.120540325,7.215903482000001,7.109702316,7.412850939,7.036744022000001,7.196730485,7.188261663,7.717166445,7.917791201,6.935763161000001,7.6144852179999996,7.3027079520000004,7.478550655,7.512880956,6.896912599,7.598264867,7.096595959,7.2266384939999995,7.037813087000001,7.744415338,7.267976325,7.5564174479999995,6.950900826,6.898352954,7.24027556,7.920226919,6.699795779,7.046388967,7.349701416,8.031971986
4,1255_g_at,3.08459126,3.118704497,2.9846323530000003,2.9128507160000003,3.383726341,2.772535084,3.037304104,2.986420339,3.066619031,2.9715370639999996,2.8166346769999997,2.9047766160000004,2.9536878580000003,2.796797207,3.1011633639999996,2.936223348,3.2427007910000003,2.9697549089999997,2.9760879910000004,3.089612316,2.950536289,3.0931666339999997,3.155704023,2.8067131639999996,2.927889204,2.8662281469999997,3.0721791460000003,2.8373543039999998,2.99201935,3.30384014,2.8229854289999996,2.745668855,3.041147951,2.9112032439999997,2.9586703930000002,3.1861994589999996,3.022327357,2.7968413539999997,2.795757113,3.572938094,3.028880941,3.377149928,2.909991934,2.915706118,2.864656797,3.010146933,2.885945885,2.770340613,2.784996453,3.370863298,2.9483696989999997,3.04948042,2.741115909,3.0540844110000003,3.186402003,2.8810390760000004,2.754189727,2.888331013,3.201510968,2.650722555,2.8586423639999996,2.7875372560000002
5,1294_at,7.397013113,7.163796874,7.375223535,7.596233211,7.278244247999999,7.396618791,6.3991780689999995,7.285007315,6.982732751,7.682609957,6.609175057000001,6.961102303,7.18368235,6.972806447999999,7.057860899,7.19703882,7.833150117000001,7.17266668,6.49037009,7.646630707999999,7.187298339,6.654735046,7.261322119,6.194275005,6.674731599999999,7.55944745,7.280061836000001,8.969693256000001,6.835082494,7.240092135,7.116495895,7.31267298,7.4280571239999995,7.879579146,6.864287831,7.510427142999999,8.279300917999999,8.617637906,7.223524982000001,6.694060757000001,7.568330395,7.412063446,7.199825477,8.122574714,7.023165568,7.829368016,7.777051342999999,7.291788463,7.30173098,7.205588639,6.599591291,7.733357975,8.101273619,7.085376676,7.001797862,7.106120589,7.089104336,7.628248999,7.192813882,5.992823747999999,6.878941158,7.744197229
6,1316_at,6.525425533,6.3911948679999995,5.538845656,5.989148387999999,5.6782364339999996,6.466417561,5.777788882,5.608286186,5.781327186,6.450320056,6.455841741,6.14216329,6.29409671,5.738548652,5.41419593,5.993539788,5.453136551,6.34514505,5.818890658,6.6221514820000005,6.1785966189999995,5.754419518,5.788301631,6.1786326229999995,6.16821335,6.324970229,5.391814879,6.081014022000001,6.140050897,5.614010378,6.22024275,5.940896296,5.491983138999999,5.665527668999999,6.324255493,5.766114506,5.344901749,6.3299954970000005,6.0565094760000004,6.13271464,5.622041755,5.804308379,6.600027651,5.967239116,6.490510586,6.216811655,6.428760947000001,6.529260604,5.73971146,5.987415395,6.16653154,5.614619466000001,5.658214496,6.288487483,5.989285446,5.791258034,5.436388709,6.061266447,5.928450852999999,5.2850137539999995,6.1373707589999995,5.7931388660000005
7,1320_at,3.8482526210000003,4.202085185,4.0744620519999994,3.7382054239999998,4.141955059,3.858940666,3.499040646,4.121144942,3.784000424,3.6811864589999996,3.814794393,3.5866625460000003,3.985673792,3.5872320839999996,3.876753662,3.754870267,3.913796091,3.72001072,4.2575698310000005,4.045690365,3.688795663,4.062427229,3.961590635,3.650067925,3.8962526019999997,3.844588363,3.9238980580000002,4.140208435,3.735253627,4.039479708,3.8447725889999997,3.765222538,3.772277344,4.021006244,3.682954746,3.829779862,4.308143352,3.7009109510000004,4.332709426,3.858563845,3.85526062,3.7912036419999997,3.8923696580000002,3.846036676,3.928574105,4.049241867,3.6751919330000002,4.091679302,4.0027612139999995,3.8190683460000003,3.868557468,4.190359976,3.979695458,3.7067185869999997,3.78349531,4.019103643999999,3.879502253,3.728706545,3.675157013,4.047409358,3.86387816,3.6287316080000003
8,1405_i_at,7.572331287000001,8.295322316,7.055578643,9.683805685,7.36089179,8.292894552,7.328514695,5.955145285,6.687646285,8.690705279,5.0603684310000006,7.515161469,9.058086493,7.266436786,9.316733574,8.939945527999999,10.77456161,8.98836682,8.685800002999999,7.06484657,9.066562306,9.128890342,8.161785838,5.7632766360000005,5.01675664,9.402994472,8.060242205,10.46185596,7.569298747,8.528819003999999,7.196441352999999,6.27910704,8.272294061,10.31328725,7.008021328,5.469601619,10.05717268,5.967222996,7.110382792999999,6.733462235,4.6850604989999995,7.7956416289999995,8.159220698,7.828438993,7.42160577,7.263656462,8.638077448999999,6.970991687000001,8.344025025,7.245033138999999,5.788071242999999,9.033464337,9.140686612,7.278797462999999,8.220870705,7.345633798,7.733339728,7.830382152,7.271916712,5.335867438999999,8.280592132,6.951344951
